month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202102,22113,"vermilion, la",208477.5,0.0973,0.1712,86,-0.1224,-0.4522,112.5,-0.038461538,0.102941176,20,-0.1667,-0.5,4,0,,16,-0.2,-0.6364,65,0.3,0.5854,95.51470877,0.0316,0.1198,1894.5,0.005,0.0655,226298.0617,-0.0067,0.1263,151,0.0203,-0.2374,0.755813953,0.2456,0.4947
202102,42003,"allegheny, pa",292000,0.0466,0.2751,1453,-0.1791,-0.4621,83,0.0375,-0.056818182,744,0.0568,-0.3008,28,0.4,0.4,248,-0.3111,-0.631,2137,0.2006,0.0123,136.6797046,0.0105,0.401,1390,-0.0014,0.0725,465341.943,0.0776,0.2619,3590,0.0113,-0.2539,1.470750172,0.4651,0.6892
202102,35049,"santa fe, nm",662500,-0.0328,0.0192,298,-0.1287,-0.3522,106,0.019230769,-0.123966942,124,0.1071,0,4,0,0,44,-0.0833,-0.3529,324,0.1058,0.0728,278.4516579,0.0065,0.1542,2105,-0.0255,-0.1229,1341262.768,0.0502,0.3063,622,-0.0205,-0.1837,1.087248322,0.2305,0.4307
202102,19155,"pottawattamie, ia",162400,0.0511,-0.1876,61,-0.2469,-0.6554,46.5,-0.088235294,0.081395349,48,0.0909,-0.5,0,,,8,-0.5,-0.8667,192,-0.0052,0.0909,111.473813,0.0316,0.0368,1490,-0.0067,-0.2178,217126.4552,-0.0219,-0.2349,253,-0.0766,-0.2833,3.147540984,0.7648,2.1532
202102,36037,"genesee, ny",152400,0.0732,0.0893,33,0.0313,-0.5286,49.5,-0.161016949,-0.357142857,24,0.5,-0.25,0,,,8,0,-0.3333,25,-0.4444,-0.4444,107.1018248,0.1019,0.2669,1624,0.0856,-0.0379,192257.2858,0.1352,0.0139,58,-0.2468,-0.4957,0.757575758,-0.6487,0.1147
202102,34001,"atlantic, nj",249450,-0.0018,-0.0022,1261,-0.1157,-0.4548,79.5,-0.042168675,-0.106741573,520,0.1504,-0.2614,44,0.375,0.2222,128,0.0323,-0.6863,805,-0.2282,-0.0123,107.6501588,-0.0134,0.1217,952,-0.0216,-0.0951,451338.9084,0.0335,0.093,2066,-0.1632,-0.3395,0.638382236,-0.093,0.286
202102,28109,"pearl river, ms",225000,-0.0239,0.2228,162,-0.1148,-0.5193,68.5,-0.074324324,-0.388392857,48,-0.2941,-0.4545,0,-1,-1,28,-0.125,-0.5333,148,0.451,0.5102,111.8648695,-0.017,0.1174,2113,-0.0135,0.1732,329152.1782,0.0016,0.3728,310,0.0877,-0.2874,0.913580247,0.3562,0.6228
202102,47011,"bradley, tn",280000,0.0566,0.1204,137,-0.068,-0.6626,27.5,-0.5703125,-0.5703125,124,0.4091,-0.2619,0,,-1,32,0.3333,-0.619,342,0.3625,0.8095,133.270202,0.0196,0.1069,2000,0.0395,-0.0485,352799.3438,0.0605,0.1415,479,0.2035,-0.195,2.496350365,0.7889,2.0308
202102,18053,"grant, in",82900,-0.0526,0.0375,111,-0.1462,-0.445,101,0.10989011,-0.028846154,52,0.625,0.0833,0,,,12,-0.4,-0.7692,54,0.0385,0.4595,60.68076371,-0.0626,0.0279,1480,-0.0327,-0.014,111767.8243,-0.0459,-0.0286,165,-0.0934,-0.3038,0.486486486,0.0865,0.3015
202102,15003,"honolulu, hi",605950,-0.005,-0.0472,3449,-0.3533,0.2349,61.5,-0.324175824,-0.133802817,968,0.0126,-0.0281,52,0.625,1.1667,260,-0.1096,-0.5149,4,0.3333,1,549.1710898,0.0303,-0.0115,1053.5,-0.0353,-0.0344,1056744.918,0.0841,-0.0749,3453,-0.3529,0.2354,0.001159756,0.0006,0.0004
