RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
102001,0,United States,Country,"",1533802.0,1372463.0,1379212.0,1406258.0,1544364.0,1641012.0,1712000.0,1765918.0,1795199.0,1786671.0,1733277.0,1734504.0,1616240.0,1442703.0,1470479.0,1470813.0,1582681.0,1670327.0,1748254.0,1797926.0,1803977.0,1779537.0,1741021.0,1713943.0,1559394.0,1392926.0,1403410.0,1409236.0,1469846.0,1365809.0,1473845.0,1467782.0,1440495.0,1385572.0,1332871.0,1328838.0,1163756.0,1019835.0,1059333.0
394913,1,"New York, NY",Msa,NY,74836.0,65885.0,65653.0,73487.0,79409.0,86394.0,91531.0,93057.0,92781.0,90108.0,89423.0,90475.0,83412.0,73771.0,74823.0,76707.0,84709.0,92177.0,97267.0,98832.0,97134.0,92920.0,93698.0,91200.0,82483.0,72762.0,72282.0,75547.0,79764.0,65234.0,70110.0,78575.0,84264.0,82987.0,84009.0,82610.0,73791.0,64939.0,63891.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,22391.0,18285.0,19814.0,21856.0,24152.0,25576.0,27763.0,28955.0,30705.0,30999.0,30577.0,31360.0,29418.0,25260.0,26440.0,26907.0,29160.0,30312.0,31969.0,31939.0,32391.0,31476.0,30308.0,29447.0,25371.0,20643.0,21151.0,22204.0,22270.0,20187.0,23468.0,25276.0,26358.0,26419.0,26438.0,26285.0,23218.0,19499.0,19748.0
394463,3,"Chicago, IL",Msa,IL,47711.0,40351.0,40138.0,42746.0,51220.0,53709.0,56214.0,58257.0,59362.0,59119.0,57760.0,57150.0,51011.0,43471.0,43217.0,45760.0,52489.0,58059.0,60315.0,61924.0,62099.0,61832.0,61038.0,59048.0,52158.0,44732.0,44842.0,48113.0,50281.0,44617.0,49279.0,51907.0,52229.0,51297.0,49407.0,48739.0,41987.0,35176.0,35034.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,26705.0,23296.0,22856.0,23466.0,26728.0,30074.0,31840.0,33978.0,35962.0,35346.0,34127.0,33380.0,31654.0,28238.0,28950.0,29614.0,32885.0,34830.0,36921.0,40113.0,41011.0,40075.0,38394.0,37612.0,34848.0,31186.0,30998.0,32144.0,33252.0,31380.0,35059.0,34971.0,34032.0,31525.0,28750.0,30876.0,27066.0,23330.0,24120.0
394974,5,"Philadelphia, PA",Msa,PA,29773.0,24924.0,24308.0,25443.0,27976.0,31137.0,32347.0,31462.0,30287.0,29806.0,29246.0,29917.0,28232.0,24757.0,24972.0,24955.0,27876.0,30157.0,30680.0,30967.0,31490.0,29078.0,28720.0,28595.0,25495.0,22222.0,21836.0,22096.0,22310.0,18261.0,21044.0,22839.0,22429.0,21525.0,20785.0,20871.0,18264.0,15508.0,16028.0
394692,6,"Houston, TX",Msa,TX,35414.0,32475.0,33074.0,32844.0,37417.0,39379.0,41497.0,42566.0,43381.0,42835.0,40306.0,40232.0,38089.0,35274.0,37147.0,37152.0,40115.0,41973.0,43560.0,46884.0,47581.0,46724.0,44289.0,43494.0,40991.0,38369.0,39532.0,40387.0,41687.0,39864.0,42488.0,41070.0,39857.0,37289.0,35099.0,35134.0,31196.0,28705.0,30559.0
395209,7,"Washington, DC",Msa,DC,25278.0,21359.0,20097.0,21443.0,26110.0,30202.0,30311.0,26648.0,26487.0,25761.0,25507.0,26021.0,23188.0,18600.0,17699.0,18187.0,22061.0,24775.0,26472.0,26363.0,25443.0,23874.0,24343.0,24099.0,20672.0,16670.0,17026.0,17807.0,20259.0,18507.0,19711.0,19249.0,19457.0,18674.0,19067.0,19577.0,16662.0,13632.0,14097.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,59762.0,59199.0,63684.0,64624.0,68470.0,67547.0,66023.0,63837.0,63327.0,62717.0,62178.0,64875.0,64713.0,63651.0,69298.0,70604.0,72260.0,70866.0,69483.0,67511.0,66198.0,64202.0,62795.0,64494.0,63156.0,61657.0,65285.0,65469.0,64722.0,59031.0,61723.0,62608.0,60901.0,59378.0,59392.0,60011.0,56659.0,54980.0,""
394347,9,"Atlanta, GA",Msa,GA,35206.0,30939.0,31654.0,31509.0,34579.0,36222.0,36842.0,39566.0,41126.0,40389.0,38889.0,39545.0,36764.0,33550.0,35275.0,39245.0,39134.0,40805.0,42480.0,44641.0,45335.0,45065.0,44389.0,44466.0,40827.0,37625.0,38992.0,38719.0,40912.0,40051.0,42975.0,41634.0,39996.0,37863.0,35010.0,35318.0,31024.0,27276.0,27151.0
394404,10,"Boston, MA",Msa,MA,12744.0,9714.0,9114.0,9647.0,11429.0,14021.0,16547.0,17065.0,16642.0,16163.0,17409.0,17813.0,15293.0,11826.0,11601.0,11679.0,14106.0,16105.0,18551.0,18668.0,17020.0,15664.0,17059.0,17003.0,14093.0,10398.0,9789.0,10752.0,12035.0,10409.0,13084.0,14964.0,14496.0,13951.0,14504.0,13817.0,11242.0,8520.0,8053.0
