RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
394358,20,"Baltimore, MD",Msa,MD,12908.0,12232.0,12731.0,13915.0,15151.0,15553.0,15308.0,14876.0,14625.0,14497.0,14104.0,13285.0,12283.0,11538.0,11998.0,13019.0,14295.0,15036.0,15265.0,15061.0,14779.0,14552.0,13978.0,12769.0,11495.0,10792.0,10938.0,10770.0,10846.0,10577.0,10592.0,10186.0,9907.0,9768.0,9263.0,8297.0,7333.0
394530,21,"Denver, CO",Msa,CO,10670.0,10074.0,11203.0,12676.0,14476.0,16108.0,17112.0,17677.0,17742.0,17757.0,17024.0,15194.0,13690.0,12932.0,13861.0,15135.0,17171.0,18968.0,19987.0,20170.0,19769.0,19169.0,17447.0,14829.0,12682.0,11713.0,12643.0,13135.0,14979.0,15988.0,17168.0,16684.0,15781.0,14983.0,13273.0,11162.0,9104.0
394982,22,"Pittsburgh, PA",Msa,PA,10718.0,10171.0,10328.0,10762.0,11377.0,11901.0,12205.0,12278.0,11985.0,11719.0,11224.0,10513.0,9783.0,9291.0,9452.0,9786.0,10340.0,10740.0,10820.0,10746.0,10608.0,10607.0,10308.0,9618.0,8996.0,8624.0,8500.0,7840.0,7948.0,8314.0,9060.0,8981.0,8792.0,8515.0,7979.0,7025.0,6326.0
394998,23,"Portland, OR",Msa,OR,7665.0,7002.0,7302.0,8075.0,9342.0,10590.0,11527.0,12125.0,12337.0,12211.0,11567.0,10403.0,9429.0,8778.0,9086.0,9657.0,10856.0,11854.0,12610.0,12815.0,12672.0,12171.0,11184.0,9722.0,8591.0,7991.0,8445.0,8807.0,9570.0,9871.0,10318.0,10282.0,9932.0,9566.0,8640.0,7547.0,6524.0
394458,24,"Charlotte, NC",Msa,NC,8970.0,8806.0,9685.0,10488.0,11305.0,11640.0,12022.0,12202.0,11948.0,11708.0,11192.0,10492.0,9958.0,9790.0,10750.0,11428.0,12341.0,12762.0,13329.0,13431.0,13294.0,13128.0,12511.0,11452.0,10563.0,10163.0,10639.0,10604.0,10973.0,10629.0,10404.0,9756.0,9338.0,9238.0,8811.0,8130.0,7524.0
395045,25,"Sacramento, CA",Msa,CA,5745.0,5399.0,5833.0,6513.0,7455.0,8221.0,8789.0,9174.0,9296.0,9322.0,8826.0,7940.0,7062.0,6480.0,6581.0,7014.0,7824.0,8584.0,9105.0,9361.0,9320.0,9032.0,8257.0,7137.0,6247.0,5902.0,6191.0,6390.0,6824.0,7148.0,7376.0,7153.0,6842.0,6725.0,6265.0,5478.0,4540.0
395055,26,"San Antonio, TX",Msa,TX,11996.0,11851.0,12571.0,13457.0,14209.0,14692.0,15066.0,15322.0,15094.0,14686.0,14188.0,13718.0,13453.0,13359.0,14095.0,14888.0,15776.0,16621.0,17404.0,17886.0,17716.0,17374.0,16806.0,16176.0,15612.0,15512.0,15876.0,15924.0,16220.0,16232.0,16216.0,15576.0,14753.0,14236.0,13415.0,12518.0,""
394943,27,"Orlando, FL",Msa,FL,13132.0,13142.0,13785.0,14270.0,14777.0,14958.0,14990.0,15073.0,15124.0,15244.0,15120.0,14786.0,14691.0,14821.0,15443.0,15631.0,15812.0,15999.0,16176.0,16100.0,15651.0,15437.0,15133.0,14617.0,14165.0,14031.0,14316.0,14047.0,14213.0,14322.0,14676.0,14463.0,14094.0,14031.0,13619.0,13055.0,""
394466,28,"Cincinnati, OH",Msa,OH,8233.0,7840.0,8057.0,8475.0,9202.0,9723.0,10254.0,10486.0,10569.0,10501.0,10141.0,9446.0,8732.0,8211.0,8338.0,8652.0,9169.0,9637.0,9920.0,10048.0,9991.0,9844.0,9392.0,8552.0,7857.0,7370.0,7421.0,7302.0,7517.0,7602.0,7758.0,7647.0,7471.0,7320.0,6913.0,6320.0,5872.0
394475,29,"Cleveland, OH",Msa,OH,12055.0,11413.0,11740.0,12472.0,13479.0,14218.0,14773.0,14963.0,14838.0,14448.0,13803.0,12786.0,11727.0,11105.0,11421.0,12168.0,13200.0,14007.0,14598.0,14798.0,14676.0,14367.0,13634.0,12562.0,11326.0,10478.0,10340.0,10075.0,10082.0,10010.0,10381.0,10583.0,10550.0,10303.0,9648.0,8621.0,7738.0
394735,30,"Kansas City, MO",Msa,MO,9265.0,8814.0,9209.0,10017.0,11149.0,12175.0,12661.0,12817.0,12433.0,11813.0,10878.0,9709.0,9050.0,8593.0,8830.0,9337.0,10019.0,10452.0,10654.0,10728.0,10683.0,10565.0,10114.0,9261.0,8355.0,7805.0,7885.0,7871.0,8081.0,8052.0,8113.0,7857.0,7608.0,7590.0,7260.0,6713.0,6019.0
